DateTime,Upload,Download,Server
21-12-2019 00:00:05,5770825,67578283,Frankfurt
21-12-2019 01:00:04,5838587,80380021,Darmstadt
21-12-2019 02:00:05,5832836,91097538,Frankfurt
21-12-2019 03:00:04,5817363,73367990,Darmstadt
21-12-2019 04:00:04,5798639,83330169,Darmstadt
21-12-2019 05:00:05,5805078,82071377,Darmstadt
21-12-2019 06:00:05,5705334,81097307,Darmstadt
21-12-2019 07:00:04,5828519,88678926,Frankfurt
21-12-2019 08:00:05,5539810,87306718,Darmstadt
21-12-2019 09:00:05,5805217,86770257,Darmstadt
21-12-2019 10:00:04,5806028,72923279,Frankfurt
21-12-2019 11:00:04,5472075,87055914,Darmstadt
21-12-2019 12:00:04,5783978,84653808,Darmstadt
21-12-2019 13:00:04,5592637,91531408,Frankfurt
21-12-2019 14:00:05,5536729,87898739,Darmstadt
21-12-2019 15:00:04,5708457,64374313,Darmstadt
21-12-2019 16:00:04,5725231,89280813,Frankfurt
21-12-2019 17:00:04,5678446,88224602,Darmstadt
21-12-2019 18:00:04,5772060,89692939,Darmstadt
21-12-2019 19:00:04,5652203,89533519,Darmstadt
21-12-2019 20:00:05,5719278,88676158,Darmstadt
21-12-2019 21:00:04,5714826,89529319,Darmstadt
21-12-2019 22:00:04,5501812,89471364,Darmstadt
21-12-2019 23:00:04,5796843,87473717,Darmstadt
22-12-2019 00:00:05,5845077,89108850,Darmstadt
22-12-2019 01:00:04,5795034,87108015,Darmstadt
22-12-2019 02:00:04,5828689,86380767,Darmstadt
22-12-2019 03:00:05,5776716,87443239,Darmstadt
22-12-2019 04:00:05,5747194,88195737,Darmstadt
22-12-2019 05:00:05,5823818,87351870,Darmstadt
22-12-2019 06:00:04,5786642,86035003,Darmstadt
22-12-2019 07:00:04,5799407,85414850,Darmstadt
22-12-2019 08:00:05,5790582,83708935,Darmstadt
22-12-2019 09:00:04,5769098,85888074,Darmstadt
22-12-2019 10:00:04,5706281,72497310,Darmstadt
22-12-2019 11:00:04,5721522,80176499,Darmstadt
22-12-2019 12:00:04,5666401,64723972,Frankfurt
22-12-2019 13:00:04,5546401,89137483,Darmstadt
22-12-2019 14:00:04,5804574,89182946,Frankfurt
22-12-2019 15:00:04,5831830,89957580,Darmstadt
22-12-2019 16:00:04,5801436,89699808,Darmstadt
